p,d,q,aic,bic,rmse,diracc,ticker
2,0,2,-4575.834991222318,-4551.584360391591,0.014009226815123755,0.5316455696202531,AAPL
2,0,1,-4576.493079902115,-4557.08834019214,0.014004761132764387,0.5147679324894515,AAPL
1,0,2,-4568.3415851362415,-4548.94108047166,0.014003933000430511,0.5147679324894515,AAPL
1,0,0,-4578.633130978247,-4568.928645840144,0.014006872887811663,0.4810126582278481,AAPL
1,0,1,-4571.001330327106,-4556.447775544625,0.014006819957241415,0.4810126582278481,AAPL
2,0,0,-4570.983813257462,-4556.430258474981,0.014006793489530949,0.4810126582278481,AAPL
0,0,1,-4572.3176125816935,-4562.615242726706,0.014006884103770162,0.0,AAPL
0,0,0,-4564.117686894423,-4559.265444325371,0.014001091593742077,0.0,AAPL
0,0,2,-4564.984186138923,-4550.4338076404865,0.014006605155919786,0.0,AAPL
