p,d,q,aic,bic,rmse,diracc,ticker
2,0,0,-4166.55538445091,-4152.036955136224,0.03236790400685932,0.5446808510638298,INTC
1,0,1,-4164.73537317151,-4150.2169438568235,0.03237117816033232,0.5446808510638298,INTC
2,0,1,-4164.528171135196,-4145.170265382281,0.03236808024891174,0.5446808510638298,INTC
1,0,2,-4160.24334751303,-4140.889726709641,0.03236732510742867,0.5446808510638298,INTC
2,0,2,-4160.478330893299,-4136.286304889062,0.032369518832497175,0.5446808510638298,INTC
1,0,0,-4168.046911794573,-4158.365818735996,0.032374763431826444,0.451063829787234,INTC
0,0,2,-4160.707532784708,-4146.192317182165,0.032367429955133156,0.00851063829787234,INTC
0,0,1,-4158.846581777383,-4149.167628900926,0.032376633306743334,0.00425531914893617,INTC
0,0,0,-4144.769195916362,-4139.928649387073,0.03237439873183197,0.00425531914893617,INTC
