order,mae,rmse,mape,direction_acc,n_train,n_test,price_mae,price_rmse,price_mape,ticker,baseline_zero_mae,baseline_zero_rmse,baseline_zero_diracc,baseline_last_mae,baseline_last_rmse,baseline_last_diracc,baseline_zero_price_mae,baseline_zero_price_rmse,baseline_zero_price_mape,baseline_last_price_mae,baseline_last_price_rmse,baseline_last_price_mape
"(2, 0, 1)",0.012451838272072142,0.019388262209577695,101.4645593686624,0.5292096219931272,1160,291,14.44481293967616,17.44425481068741,6.4046229958921685,AAPL,0.012440804259951824,0.019390041628166065,0.003436426116838488,0.019857470228947377,0.025572668639654562,0.5360824742268041,14.260416928845169,17.29201794107668,6.33852146715783,6120.142783202537,9919.743576253997,2704.8202618859486
"(2, 0, 2)",0.014884685882445077,0.020735168657392333,99.8049269183664,0.5051546391752577,1160,291,38.13078877460547,42.6578933432503,17.582497569893885,AMZN,0.014889960655068712,0.02073971096221549,0.0,0.022760376700696115,0.028476413483632255,0.5257731958762887,38.128526667958745,42.6556309671798,17.581429921521725,10610.28734236671,18540.495159966147,4813.90504376703
"(2, 0, 2)",0.016472593957422094,0.023144457643809752,100.09186343745975,0.48104265402843605,1688,422,37012.885006981596,41411.36420533183,36.439624237563486,BTC-USD,0.0164689081612373,0.023140876399122375,0.0,0.0259391400477445,0.03176865265319112,0.48104265402843605,36564.953874777806,40990.96665581187,35.95553719474536,87398.73362627203,92108.78857235204,89.81911047930302
"(1, 0, 1)",0.026689098769665513,0.03800596958273415,102.0438890707478,0.476303317535545,1688,422,680.4385776449838,915.4124284121948,21.565316236310046,ETH-USD,0.02666770809374223,0.03799636419609606,0.0,0.042889169541781416,0.05262480688095571,0.4786729857819905,681.9346064707678,918.5552769721809,21.56150316233258,2795.0068880875356,2969.429646169449,93.39588232178768
"(1, 0, 0)",0.01420181989324111,0.019498760982627962,99.9771548035766,0.49140893470790376,1160,291,20.873958706430855,31.234582194212333,10.239523485526142,GOOGL,0.014206033140520324,0.019503377800746596,0.003436426116838488,0.016432531768803983,0.021963967920047022,0.5395189003436426,20.783815259376368,31.13731782441137,10.194738649961458,1150.5334601878549,1637.0453540681171,588.3053621976475
"(1, 0, 0)",0.026623546380508192,0.03782926011206827,99.93637241154364,0.5429553264604811,1160,291,2.565387741201096,4.1599288458737265,9.907164894737598,INTC,0.026641426895745418,0.03784153501574103,0.006872852233676976,0.058628473420869354,0.06572628053459584,0.46735395189003437,2.5275947531474006,4.1123918102495,9.765750852487438,14416032.487573734,41053381.57120053,49132991.812815905
"(1, 0, 0)",0.01495911836855225,0.021758323051490773,99.88607689971035,0.4570446735395189,1160,291,113.10309228973439,136.6655278395123,16.546687496535775,META,0.014963099396146672,0.021758981190125787,0.003436426116838488,0.026184380991852718,0.03172061069967605,0.5120274914089347,112.65019996879037,136.21584836142077,16.478055194434084,83873.96641584385,158033.18919306417,11631.395747848797
"(1, 0, 0)",0.009909782099368105,0.014900212068060761,100.13662605241895,0.5017182130584192,1160,291,42.527184830198564,57.30440311483002,8.94955737379638,MSFT,0.009901209110680879,0.014895685044073811,0.0,0.018772305716068447,0.02243173560940439,0.5498281786941581,41.92296283105809,56.65736044817631,8.826108809922287,12840.856756677147,21049.8309602613,2633.1421246583714
"(2, 0, 2)",0.022425575842517774,0.03165603883673755,105.05479422152129,0.5085910652920962,1160,291,26.926070499063943,34.42227491183639,17.381816260409067,NVDA,0.02229381601144752,0.031529909447571135,0.0,0.06269937216240802,0.06927010920341957,0.5498281786941581,26.487184635962006,33.972316548745674,17.096529866769583,643930428.2924992,1953348969.3024356,356742419.1427378
"(2, 0, 1)",0.03118754695984185,0.042849105837977935,99.95646643530475,0.5120274914089347,1160,291,109.92581742699201,129.42291695485613,31.439293979438283,TSLA,0.031198027531642372,0.04285709149610708,0.0,0.054230348047517606,0.06480559810855212,0.5085910652920962,109.91893278036743,129.42146483821142,31.43634700878134,40407997.4343181,110097633.64784788,10294004.146754298
