order,mae,rmse,mape,direction_acc,n_train,n_test,price_mae,price_rmse,price_mape,ticker,baseline_zero_mae,baseline_zero_rmse,baseline_zero_diracc,baseline_last_mae,baseline_last_rmse,baseline_last_diracc,baseline_zero_price_mae,baseline_zero_price_rmse,baseline_zero_price_mape,baseline_last_price_mae,baseline_last_price_rmse,baseline_last_price_mape
"(1, 0, 0)",0.012720620768477,0.0196486880219984,99.95484740537572,0.46875,1151,288,13.115404163981507,15.870631455984348,5.918784941584261,AAPL,0.012727284715143,0.0196539415726732,0.0034722222222222,0.0182291761273576,0.0243698952665009,0.5416666666666666,13.04686811235218,15.827963547656768,5.896755512831176,3495.2841926071314,5371.12032014187,1590.1602106039231
"(2, 0, 0)",0.0152280351613695,0.0214764056763321,99.97688549096554,0.4861111111111111,1151,288,23.5444160596132,28.2976087581298,10.858462777172557,AMZN,0.0152302882234437,0.0214720817656267,0.0,0.0298073338036513,0.0352978463164762,0.5208333333333334,23.47784985436336,28.215569334743904,10.829714282954171,86523.10061780339,175906.29261394762,38786.08292610681
"(1, 0, 1)",0.0170157880240147,0.0241548774471635,100.0183848388224,0.5536992840095465,1674,419,28386.247408967447,32785.919320255314,28.20940945189824,BTC-USD,0.0170169368073066,0.0241618230575429,0.0,0.0197530304034443,0.0261316113900585,0.5107398568019093,28342.145743213016,32732.021394427284,28.170520593886,1506064.264835153,2417891.6120862206,1402.0037832965722
"(2, 0, 0)",0.0271222780312975,0.0386959916895723,99.99627494957195,0.4868735083532219,1674,419,731.6232854300506,844.3832562230191,29.13958358064925,ETH-USD,0.0271234164833936,0.0386970097209351,0.0,0.0286650829299881,0.0399320498318969,0.4844868735083532,732.1069641841615,844.9206607441074,29.168450803405776,2121.8204301450137,2435.9843297888747,70.6548992726467
"(1, 0, 0)",0.0144271825858454,0.0197628252310424,99.94407006611722,0.4930555555555556,1151,288,16.078645077227,23.287894564241206,8.360721237832024,GOOGL,0.0144295317809045,0.0197631093816619,0.0034722222222222,0.0149870909332063,0.0206212116018325,0.5451388888888888,16.073002762264675,23.25049418032908,8.363070495994034,408.57923272354,525.7807359191811,220.92045886497243
"(2, 0, 2)",0.0278802586569517,0.0420792167814784,99.90638169812976,0.5034722222222222,1151,288,8.453196713567971,8.728500531606883,39.73821348091581,INTC,0.0279001527851317,0.0420298860840637,0.0069444444444444,0.0336759254570216,0.0465318450325028,0.4548611111111111,8.567981342474626,8.840902033624625,40.267014035205705,1690.2002437443869,2904.2197599124192,7350.035437859055
"(1, 0, 0)",0.0153051625354611,0.022161621843663,100.00926992484708,0.3680555555555556,1151,288,156.06898047564977,176.2140691109784,23.557156533582003,META,0.0153010575851352,0.0221530072103177,0.0034722222222222,0.026511371827928,0.0320130671254375,0.5208333333333334,155.55679459041997,175.76065646396663,23.47426872536432,84476.11764826579,160629.80304146215,11712.701473279563
"(1, 0, 0)",0.0100426478111511,0.0150719526620247,100.22948488014156,0.5,1151,288,36.32733064535256,50.04485002335912,7.776084012617988,MSFT,0.0100366869041113,0.0150713253730041,0.0,0.0147690161788863,0.0189961176738573,0.4513888888888889,36.50659836663139,50.37499162497484,7.806126312294603,312.56588844919213,339.65817002307256,69.95371561927792
"(1, 0, 0)",0.0232955770436906,0.0325946520827293,99.96420074746382,0.4583333333333333,1151,288,24.354363987719744,31.317083655364325,16.125472600431014,NVDA,0.0233295641320655,0.0326655820823069,0.0,0.1194704256498821,0.1235052451301288,0.5416666666666666,23.66823946105113,30.55025216709102,15.691472729609362,4284165008024804.0,1.7839154140846206e+16,2430186665648339.5
"(2, 0, 1)",0.0313444638622032,0.0430358545959711,99.99081445165947,0.5104166666666666,1151,288,82.55667405470194,102.29142360603292,23.81892602158454,TSLA,0.031350676201605,0.0430456458827747,0.0,0.0472110200250264,0.0582641442979535,0.5069444444444444,82.28561984168158,101.98381822564062,23.743783465013824,3134466.034292464,7669296.22188469,883118.0241674716
